[2026-01-17T13:01:09Z INFO  rustwqb::storage::connection] Database connection established with WAL mode and table initialized.
[2026-01-17T13:01:10Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> auth_request(...) [1 tries]
[2026-01-17T13:01:10Z INFO  rustwqb::backtest::service] 正在执行回测任务恢复程序...
[2026-01-17T13:01:10Z INFO  rustwqb::backtest::service] ✓ 成功恢复 10 个中断的任务
[2026-01-17T13:01:10Z INFO  rustwqb::backtest::service] 🚀 [w1] 开始回测任务 [2027]: ts_corr(fnd27_06000_recp_tax_rends_value,anl69_cpss_best_crncy_iso,12) (region: CHN, universe: TOP2000U)
[2026-01-17T13:01:10Z INFO  rustwqb::backtest::service] 🚀 [w10] 开始回测任务 [2028]: ts_mean(mdl175_mbs,9) (region: CHN, universe: TOP2000U)
[2026-01-17T13:01:10Z INFO  rustwqb::backtest::service] 🚀 [w7] 开始回测任务 [2032]: group_scale(return_equity,sta2_top3000_fact3_c10) (region: CHN, universe: TOP2000U)
[2026-01-17T13:01:10Z INFO  rustwqb::backtest::service] 🚀 [w9] 开始回测任务 [2034]: ts_std_dev(anl14_stddev_ptprep_fy2,20) (region: CHN, universe: TOP2000U)
[2026-01-17T13:01:10Z INFO  rustwqb::backtest::service] 🚀 [w2] 开始回测任务 [2039]: ts_corr(mdl175_roc6,mdl175_revs20indu1,8) (region: CHN, universe: TOP2000U)
[2026-01-17T13:01:10Z INFO  rustwqb::backtest::service] 🚀 [w5] 开始回测任务 [2041]: ts_product(ts_std_dev(anl14_low_div_fy2,15),3) (region: CHN, universe: TOP2000U)
[2026-01-17T13:01:10Z INFO  rustwqb::backtest::service] 🚀 [w3] 开始回测任务 [2042]: ts_corr(pv27_moneyflow_pct_volume,mdl138_qpdi5_cfrnoa,20) (region: CHN, universe: TOP2000U)
[2026-01-17T13:01:10Z INFO  rustwqb::backtest::service] 🚀 [w4] 开始回测任务 [2043]: group_rank(ts_mean(anl69_dif_best_roe_chg_pct,6),sta2_top3000_fact3_c10) (region: CHN, universe: TOP2000U)
[2026-01-17T13:01:10Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [1 tries]
[2026-01-17T13:01:10Z INFO  rustwqb::backtest::worker] ▶ 模拟任务已提交: 1hu3fheOD4Tkb5xpg4o4wgb
[2026-01-17T13:01:10Z INFO  rustwqb::backtest::service] 🚀 [w6] 开始回测任务 [2044]: ts_zscore(ts_returns(mdl14_rv_idu_0810f,12,1),10) (region: CHN, universe: TOP2000U)
[2026-01-17T13:01:11Z INFO  rustwqb::backtest::service] 🚀 [w8] 开始回测任务 [2045]: group_zscore(ts_corr(fnd6_oancf,mdl14_rank_rv_idu_f0080_rank,7),method2_cluster2_top1500_grouping) (region: CHN, universe: TOP2000U)
[2026-01-17T13:01:11Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [1 tries]
[2026-01-17T13:01:11Z INFO  rustwqb::backtest::worker] ▶ 模拟任务已提交: 3gPJ9wa0W4JMavYTTi1tXsT
[2026-01-17T13:01:11Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [1 tries]
[2026-01-17T13:01:11Z INFO  rustwqb::backtest::worker] ▶ 模拟任务已提交: 2cGSk13p8523blw15euiJCN8
[2026-01-17T13:01:11Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [1 tries]
[2026-01-17T13:01:11Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [1 tries]
[2026-01-17T13:01:11Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [1 tries]
[2026-01-17T13:01:12Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [1 tries]
[2026-01-17T13:01:12Z INFO  rustwqb::backtest::worker] ▶ 模拟任务已提交: 1TXBhAaXm4UEaw2McJ8ouXM
[2026-01-17T13:01:12Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [1 tries]
[2026-01-17T13:01:13Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> auth_request(...) [1 tries]
[2026-01-17T13:01:13Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> auth_request(...) [1 tries]
[2026-01-17T13:01:13Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> auth_request(...) [1 tries]
[2026-01-17T13:01:14Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> auth_request(...) [1 tries]
[2026-01-17T13:01:14Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> auth_request(...) [1 tries]
[2026-01-17T13:01:14Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> auth_request(...) [1 tries]
[2026-01-17T13:01:16Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> auth_request(...) [1 tries]
[2026-01-17T13:01:16Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> auth_request(...) [1 tries]
[2026-01-17T13:01:16Z WARN  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [max 3 tries ran out]
[2026-01-17T13:01:16Z WARN  rustwqb::backtest::service] ✗ 任务执行失败 [2034]: 触发 WQB 频率限制 (429)
[2026-01-17T13:01:16Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> auth_request(...) [1 tries]
[2026-01-17T13:01:16Z INFO  rustwqb::backtest::service] 🚀 [w9] 开始回测任务 [2046]: ts_mean(ts_std_dev(pv27_variance_60m,10),5) (region: CHN, universe: TOP2000U)
[2026-01-17T13:01:16Z WARN  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [max 3 tries ran out]
[2026-01-17T13:01:16Z WARN  rustwqb::backtest::service] ✗ 任务执行失败 [2043]: 触发 WQB 频率限制 (429)
[2026-01-17T13:01:16Z INFO  rustwqb::backtest::service] 🚀 [w4] 开始回测任务 [2047]: rank(ts_product(anl14_low_eps_fy3,4),2) (region: CHN, universe: TOP2000U)
[2026-01-17T13:01:17Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [3 tries]
[2026-01-17T13:01:17Z INFO  rustwqb::backtest::worker] ▶ 模拟任务已提交: vGnXIdyD5g1bPUotBJ1NMt
[2026-01-17T13:01:17Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [1 tries]
[2026-01-17T13:01:21Z WARN  rustwqb::session::auto_auth_session] <AutoAuthSession []> auth_request(...) [max 3 tries ran out]
[2026-01-17T13:01:21Z WARN  rustwqb::session::auto_auth_session] <AutoAuthSession []> auth_request(...) [max 3 tries ran out]
[2026-01-17T13:01:21Z WARN  rustwqb::session::auto_auth_session] <AutoAuthSession []> auth_request(...) [max 3 tries ran out]
[2026-01-17T13:01:21Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [3 tries]
[2026-01-17T13:01:21Z INFO  rustwqb::backtest::worker] ▶ 模拟任务已提交: 1dEBGU1FN4pObT9x1i7miyG
[2026-01-17T13:01:21Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [3 tries]
[2026-01-17T13:01:21Z INFO  rustwqb::backtest::worker] ▶ 模拟任务已提交: 3LzgiI5134vu92Mw6AuGWce
[2026-01-17T13:01:21Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [1 tries]
[2026-01-17T13:01:21Z WARN  rustwqb::backtest::service] ✗ 任务执行失败 [2042]: 回测失败: Operator ts_corr does not support event inputs
[2026-01-17T13:01:21Z INFO  rustwqb::backtest::service] 🚀 [w3] 开始回测任务 [2034]: ts_std_dev(anl14_stddev_ptprep_fy2,20) (region: CHN, universe: TOP2000U)
[2026-01-17T13:01:21Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [3 tries]
[2026-01-17T13:01:21Z INFO  rustwqb::backtest::worker] ▶ 模拟任务已提交: 2Pn1vP9on4HGaVWOsqmi8aa
[2026-01-17T13:01:22Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [1 tries]
[2026-01-17T13:01:22Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [1 tries]
[2026-01-17T13:01:24Z WARN  rustwqb::session::auto_auth_session] <AutoAuthSession []> auth_request(...) [max 3 tries ran out]
[2026-01-17T13:01:24Z WARN  rustwqb::session::auto_auth_session] <AutoAuthSession []> auth_request(...) [max 3 tries ran out]
[2026-01-17T13:01:24Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [2 tries]
[2026-01-17T13:01:24Z INFO  rustwqb::backtest::worker] ▶ 模拟任务已提交: 2nkvjtclw5ck8NC2L4vlj57
[2026-01-17T13:01:24Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [1 tries]
[2026-01-17T13:01:29Z WARN  rustwqb::session::auto_auth_session] <AutoAuthSession []> auth_request(...) [max 3 tries ran out]
[2026-01-17T13:01:29Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [2 tries]
[2026-01-17T13:01:29Z INFO  rustwqb::backtest::worker] ▶ 模拟任务已提交: 1rOcQs4l15jncn4cCErQ2J2
[2026-01-17T13:01:29Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [1 tries]
[2026-01-17T13:01:31Z WARN  rustwqb::session::auto_auth_session] <AutoAuthSession []> auth_request(...) [max 3 tries ran out]
[2026-01-17T13:01:31Z WARN  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [max 3 tries ran out]
[2026-01-17T13:01:31Z WARN  rustwqb::backtest::service] ✗ 任务执行失败 [2047]: 触发 WQB 频率限制 (429)
[2026-01-17T13:01:31Z INFO  rustwqb::backtest::service] 🚀 [w4] 开始回测任务 [2043]: group_rank(ts_mean(anl69_dif_best_roe_chg_pct,6),sta2_top3000_fact3_c10) (region: CHN, universe: TOP2000U)
[2026-01-17T13:01:32Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [1 tries]
[2026-01-17T13:01:32Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [1 tries]
[2026-01-17T13:01:32Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [1 tries]
[2026-01-17T13:01:32Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [1 tries]
[2026-01-17T13:01:37Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [1 tries]
[2026-01-17T13:01:37Z WARN  rustwqb::backtest::service] ✗ 任务执行失败 [2045]: 回测失败: Operator ts_corr does not support event inputs
[2026-01-17T13:01:37Z INFO  rustwqb::backtest::service] 🚀 [w8] 开始回测任务 [2047]: rank(ts_product(anl14_low_eps_fy3,4),2) (region: CHN, universe: TOP2000U)
[2026-01-17T13:01:39Z WARN  rustwqb::session::auto_auth_session] <AutoAuthSession []> auth_request(...) [max 3 tries ran out]
[2026-01-17T13:01:42Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [1 tries]
[2026-01-17T13:01:42Z WARN  rustwqb::backtest::service] ✗ 任务执行失败 [2044]: 回测失败: Invalid number of inputs : 2, should be exactly 1 input(s)
[2026-01-17T13:01:42Z INFO  rustwqb::backtest::service] 🚀 [w6] 开始回测任务 [2048]: group_scale(ts_corr(anl69_best_ebitda_lo,return_equity,9),mdl31_ass_tvr_prior_y) (region: CHN, universe: TOP2000U)
[2026-01-17T13:01:42Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [1 tries]
[2026-01-17T13:01:45Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [1 tries]
[2026-01-17T13:01:45Z WARN  rustwqb::backtest::service] ✗ 任务执行失败 [2046]: 回测失败: Operator ts_std_dev does not support event inputs
[2026-01-17T13:01:45Z INFO  rustwqb::backtest::service] 🚀 [w9] 开始回测任务 [2049]: ts_returns(ts_mean(fnd5_66_lpt_sb,8),15,1) (region: CHN, universe: TOP2000U)
[2026-01-17T13:01:45Z WARN  rustwqb::session::auto_auth_session] <AutoAuthSession []> auth_request(...) [max 3 tries ran out]
[2026-01-17T13:01:46Z WARN  rustwqb::session::auto_auth_session] <AutoAuthSession []> auth_request(...) [max 3 tries ran out]
[2026-01-17T13:01:47Z WARN  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [max 3 tries ran out]
[2026-01-17T13:01:47Z WARN  rustwqb::backtest::service] ✗ 任务执行失败 [2043]: 触发 WQB 频率限制 (429)
[2026-01-17T13:01:47Z INFO  rustwqb::backtest::service] 🚀 [w4] 开始回测任务 [2050]: group_backfill(ts_zscore(short_term_debt_instruments,12),sta2_top3000_fact3_c10,3) (region: CHN, universe: TOP2000U)
[2026-01-17T13:01:49Z WARN  rustwqb::session::auto_auth_session] <AutoAuthSession []> auth_request(...) [max 3 tries ran out]
[2026-01-17T13:01:49Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [1 tries]
[2026-01-17T13:01:52Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [1 tries]
[2026-01-17T13:01:52Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [1 tries]
[2026-01-17T13:01:52Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [1 tries]
[2026-01-17T13:01:52Z WARN  rustwqb::session::auto_auth_session] <AutoAuthSession []> auth_request(...) [max 3 tries ran out]
[2026-01-17T13:01:52Z WARN  rustwqb::session::auto_auth_session] <AutoAuthSession []> auth_request(...) [max 3 tries ran out]
[2026-01-17T13:01:53Z INFO  rustwqb::session::auto_auth_session] <AutoAuthSession []> request(...) [2 tries]
